交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,编号,名称,商品编号,渠道类型,商品类型,商品子类型,排序,价格,玉珏,正常赠送,每日赠送,首充赠送,标签,图标,首冲礼包,物品数量,图标,2次充值礼包,物品数量,图标,3次充值礼包,物品数量,图标,描述,充值赠赠送百分比,联想平台用,VIP等级显示,渠道特惠购买对应苹果id,名字,数量
,120006,月卡,cn.gamejelly.gong.appstore_yk,155,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,120007,周卡,cn.gamejelly.gong.appstore_zk,155,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,120008,36000玉玦,cn.gamejelly.gong.sina_36000yj,155,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,120009,特惠购买10玉玦,cn.gamejelly.sina.thgm_10yj,155,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,120010,特惠购买60玉玦,cn.gamejelly.sina.thgm_60yj,155,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,120011,特惠购买300玉玦,cn.gamejelly.sina.thgm_300yj,155,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,120012,特惠购买980玉玦,cn.gamejelly.sina.thgm_980yj,155,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,120013,特惠购买1980玉玦,cn.gamejelly.sina.thgm_1980yj,155,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,120014,特惠购买3280玉玦,cn.gamejelly.sina.thgm_3280yj,155,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,120015,特惠购买6480玉玦,cn.gamejelly.sina.thgm_6480yj,155,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
xiaoqian,121000,60玉玦,cn.gamejelly.gong.xiaoqi_60yj,156,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,121001,300玉玦,cn.gamejelly.gong.xiaoqi_300yj,156,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,121002,980玉玦,cn.gamejelly.gong.xiaoqi_980yj,156,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,121003,1980玉玦,cn.gamejelly.gong.xiaoqi_1980yj,156,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,121004,3280玉玦,cn.gamejelly.gong.xiaoqi_3280yj,156,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,121005,6480玉玦,cn.gamejelly.gong.xiaoqi_6480yj,156,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,121006,月卡,cn.gamejelly.gong.appstore_yk,156,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,121007,周卡,cn.gamejelly.gong.appstore_zk,156,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,121008,36000玉玦,cn.gamejelly.gong.xiaoqi_36000yj,156,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,121009,特惠购买10玉玦,cn.gamejelly.xiaoqi.thgm_10yj,156,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,121010,特惠购买60玉玦,cn.gamejelly.xiaoqi.thgm_60yj,156,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,121011,特惠购买300玉玦,cn.gamejelly.xiaoqi.thgm_300yj,156,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,121012,特惠购买980玉玦,cn.gamejelly.xiaoqi.thgm_980yj,156,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,121013,特惠购买1980玉玦,cn.gamejelly.xiaoqi.thgm_1980yj,156,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,121014,特惠购买3280玉玦,cn.gamejelly.xiaoqi.thgm_3280yj,156,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,121015,特惠购买6480玉玦,cn.gamejelly.xiaoqi.thgm_6480yj,156,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
xiaoqian安卓,122000,60玉玦,cn.gamejelly.gong.xiaoqian_60yj,157,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,122001,300玉玦,cn.gamejelly.gong.xiaoqian_300yj,157,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,122002,980玉玦,cn.gamejelly.gong.xiaoqian_980yj,157,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,122003,1980玉玦,cn.gamejelly.gong.xiaoqian_1980yj,157,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,122004,3280玉玦,cn.gamejelly.gong.xiaoqian_3280yj,157,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,122005,6480玉玦,cn.gamejelly.gong.xiaoqian_6480yj,157,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,122006,月卡,cn.gamejelly.gong.appstore_yk,157,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,122007,周卡,cn.gamejelly.gong.appstore_zk,157,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,122008,36000玉玦,cn.gamejelly.gong.xiaoqian_36000yj,157,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,122009,特惠购买10玉玦,cn.gamejelly.xiaoqian.thgm_10yj,157,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,122010,特惠购买60玉玦,cn.gamejelly.xiaoqian.thgm_60yj,157,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,122011,特惠购买300玉玦,cn.gamejelly.xiaoqian.thgm_300yj,157,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,122012,特惠购买980玉玦,cn.gamejelly.xiaoqian.thgm_980yj,157,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,122013,特惠购买1980玉玦,cn.gamejelly.xiaoqian.thgm_1980yj,157,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,122014,特惠购买3280玉玦,cn.gamejelly.xiaoqian.thgm_3280yj,157,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,122015,特惠购买6480玉玦,cn.gamejelly.xiaoqian.thgm_6480yj,157,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
拇指玩,124000,60玉玦,cn.gamejelly.gong.muzhiwan_60yj,158,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,124001,300玉玦,cn.gamejelly.gong.muzhiwan_300yj,158,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,124002,980玉玦,cn.gamejelly.gong.muzhiwan_980yj,158,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,124003,1980玉玦,cn.gamejelly.gong.muzhiwan_1980yj,158,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,124004,3280玉玦,cn.gamejelly.gong.muzhiwan_3280yj,158,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,124005,6480玉玦,cn.gamejelly.gong.muzhiwan_6480yj,158,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,124006,月卡,cn.gamejelly.gong.appstore_yk,158,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,124007,周卡,cn.gamejelly.gong.appstore_zk,158,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,124008,36000玉玦,cn.gamejelly.gong.muzhiwan_36000yj,158,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,124009,特惠购买10玉玦,cn.gamejelly.muzhiwan.thgm_10yj,158,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,124010,特惠购买60玉玦,cn.gamejelly.muzhiwan.thgm_60yj,158,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,124011,特惠购买300玉玦,cn.gamejelly.muzhiwan.thgm_300yj,158,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,124012,特惠购买980玉玦,cn.gamejelly.muzhiwan.thgm_980yj,158,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,124013,特惠购买1980玉玦,cn.gamejelly.muzhiwan.thgm_1980yj,158,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,124014,特惠购买3280玉玦,cn.gamejelly.muzhiwan.thgm_3280yj,158,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,124015,特惠购买6480玉玦,cn.gamejelly.muzhiwan.thgm_6480yj,158,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
溢玩,125000,60玉玦,cn.gamejelly.gong.yiwan_60yj,159,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,125001,300玉玦,cn.gamejelly.gong.yiwan_300yj,159,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,125002,980玉玦,cn.gamejelly.gong.yiwan_980yj,159,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,125003,1980玉玦,cn.gamejelly.gong.yiwan_1980yj,159,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,125004,3280玉玦,cn.gamejelly.gong.yiwan_3280yj,159,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,125005,6480玉玦,cn.gamejelly.gong.yiwan_6480yj,159,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,125006,月卡,cn.gamejelly.gong.appstore_yk,159,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,125007,周卡,cn.gamejelly.gong.appstore_zk,159,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,125008,36000玉玦,cn.gamejelly.gong.yiwan_36000yj,159,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,125009,特惠购买10玉玦,cn.gamejelly.yiwan.thgm_10yj,159,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,125010,特惠购买60玉玦,cn.gamejelly.yiwan.thgm_60yj,159,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,125011,特惠购买300玉玦,cn.gamejelly.yiwan.thgm_300yj,159,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,125012,特惠购买980玉玦,cn.gamejelly.yiwan.thgm_980yj,159,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,125013,特惠购买1980玉玦,cn.gamejelly.yiwan.thgm_1980yj,159,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,125014,特惠购买3280玉玦,cn.gamejelly.yiwan.thgm_3280yj,159,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,125015,特惠购买6480玉玦,cn.gamejelly.yiwan.thgm_6480yj,159,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
kuaijie,123000,60玉玦,cn.gamejelly.gong.kuaijie_60yj,160,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,60,,,,,,
,123001,300玉玦,cn.gamejelly.gong.kuaijie_300yj,160,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,300,,,,,,
,123002,980玉玦,cn.gamejelly.gong.kuaijie_980yj,160,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,980,,,,,,
,123003,1980玉玦,cn.gamejelly.gong.kuaijie_1980yj,160,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,1980,,,,,,
,123004,3280玉玦,cn.gamejelly.gong.kuaijie_3280yj,160,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,3280,,,,,,
,123005,6480玉玦,cn.gamejelly.gong.kuaijie_6480yj,160,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,6480,,,,,,
,123006,月卡,cn.gamejelly.gong.appstore_yk,160,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,123007,周卡,cn.gamejelly.gong.appstore_zk,160,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,123008,36000玉玦,cn.gamejelly.gong.kuaijie_36000yj,160,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,36000,,,,,,
,123009,特惠购买10玉玦,cn.gamejelly.kuaijie.thgm_10yj,160,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,10,,,,,,
,123010,特惠购买60玉玦,cn.gamejelly.kuaijie.thgm_60yj,160,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,60,,,,,,
,123011,特惠购买300玉玦,cn.gamejelly.kuaijie.thgm_300yj,160,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,300,,,,,,
,123012,特惠购买980玉玦,cn.gamejelly.kuaijie.thgm_980yj,160,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,980,,,,,,
,123013,特惠购买1980玉玦,cn.gamejelly.kuaijie.thgm_1980yj,160,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,1980,,,,,,
,123014,特惠购买3280玉玦,cn.gamejelly.kuaijie.thgm_3280yj,160,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,3280,,,,,,
,123015,特惠购买6480玉玦,cn.gamejelly.kuaijie.thgm_6480yj,160,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,6480,,,,,,
台湾,190000,60玉玦,cn.guodong.gong.tw_60yj,1000,1,1,6,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,190001,300玉玦,cn.guodong.gong.tw_300yj,1000,1,2,5,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,190002,980玉玦,cn.guodong.gong.tw_980yj,1000,1,3,4,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,190003,1980玉玦,cn.guodong.gong.tw_1980yj,1000,1,4,7,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,190004,3280玉玦,cn.guodong.gong.tw_3280yj,1000,1,5,3,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,190005,6480玉玦,cn.guodong.gong.tw_6480yj,1000,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,190006,月卡,cn.gamejelly.gong.appstore_yk,1000,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,190007,周卡,cn.gamejelly.gong.appstore_zk,1000,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,191000,60玉玦,cn.jelly.tw1_60yj,1000,1,1,6,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,191001,300玉玦,cn.jelly.tw1_300yj,1001,1,2,5,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,191002,980玉玦,cn.jelly.tw1_980yj,1001,1,3,4,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,191003,1980玉玦,cn.jelly.tw1_1980yj,1001,1,4,7,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,191004,3280玉玦,cn.jelly.tw1_3280yj,1001,1,5,3,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,191005,6480玉玦,cn.jelly.tw1_6480yj,1001,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,191006,月卡,cn.gamejelly.gong.appstore_yk,1000,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,191007,周卡,cn.gamejelly.gong.appstore_zk,1000,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,192000,60玉玦,cn.jelly.tw2_60yj,1002,1,1,6,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,192001,300玉玦,cn.jelly.tw2_300yj,1002,1,2,5,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,192002,980玉玦,cn.jelly.tw2_980yj,1002,1,3,4,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,192003,1980玉玦,cn.jelly.tw2_1980yj,1002,1,4,7,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,192004,3280玉玦,cn.jelly.tw2_3280yj,1002,1,5,3,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,192005,6480玉玦,cn.jelly.tw2_6480yj,1002,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,192006,月卡,cn.gamejelly.gong.appstore_yk,1002,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,192007,周卡,cn.gamejelly.gong.appstore_zk,1002,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,193000,60玉玦,cn.jelly.tw3_60yj,1002,1,1,6,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,193001,300玉玦,cn.jelly.tw3_300yj,1004,1,2,5,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,193002,980玉玦,cn.jelly.tw3_980yj,1004,1,3,4,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,193003,1980玉玦,cn.jelly.tw3_1980yj,1004,1,4,7,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,193004,3280玉玦,cn.jelly.tw3_3380yj,1004,1,5,3,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,193005,6480玉玦,cn.jelly.tw3_6480yj,1004,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,193006,月卡,cn.gamejelly.gong.appstore_yk,1004,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,193007,周卡,cn.gamejelly.gong.appstore_zk,1004,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,200000,60玉玦,cn.gamejelly.gong.tw_60yj,10000,1,1,6,0.99,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,200001,300玉玦,cn.gamejelly.gong.tw_300yj,10000,1,2,5,4.99,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,200002,980玉玦,cn.gamejelly.gong.tw_980yj,10000,1,3,4,14.99,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,200003,1980玉玦,cn.gamejelly.gong.tw_1980yj,10000,1,4,7,29.99,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,200004,3280玉玦,cn.gamejelly.gong.tw_3280yj,10000,1,5,3,49.99,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,200005,6480玉玦,cn.gamejelly.gong.tw_6480yj,10000,1,6,8,99.99,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,200006,月卡,cn.gamejelly.gong.appstore_yk,10000,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,200007,周卡,cn.gamejelly.gong.appstore_zk,10000,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,500000,特惠购买300玉玦,cn.gamejelly.gong.thgm_300yj,500,4,1,5,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,500001,特惠购买60玉玦,cn.gamejelly.gong.thgm_60yj,500,4,1,6,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,500002,特惠购买980玉玦,cn.gamejelly.gong.thgm_980yj,500,4,1,4,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,500003,特惠购买1980玉玦,cn.gamejelly.gong.thgm_1980yj,500,4,1,7,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,500004,特惠购买3280玉玦,cn.gamejelly.gong.thgm_3280yj,500,4,1,3,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,500005,特惠购买6480玉玦,cn.gamejelly.gong.thgm_6480yj,500,4,1,8,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
,500006,特惠购买10玉玦,cn.gamejelly.gong.thgm_10yj,500,4,1,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,500007,特惠购买120玉玦,cn.gamejelly.gong.thgm_120yj,500,4,1,10,12,,,,0,1,1008,,,,,,,,500007,,,,,,,,
,600000,成长基金980玉玦,cn.gamejelly.gong.czjj_980yj,500,5,1,4,98,,,,0,1,1003,,,,,,,,,,,,,,,,
,700000,特惠购买月礼包,cn.gamejelly.gong.thgm_yth,500,6,1,5,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
HD,126000,60玉玦,cn.gamejelly.gong.hd_60yj,100,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,126001,300玉玦,cn.gamejelly.gong.hd_300yj,100,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,126002,980玉玦,cn.gamejelly.gong.hd_980yj,100,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,126003,1980玉玦,cn.gamejelly.gong.hd_1980yj,100,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,126004,3280玉玦,cn.gamejelly.gong.hd_3280yj,100,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,126005,6480玉玦,cn.gamejelly.gong.hd_6480yj,100,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,126006,月卡,cn.gamejelly.gong.appstore_yk,100,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,126007,周卡,cn.gamejelly.gong.appstore_zk,100,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
